epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.2193675935268402,9.999999747378752e-05,11.597496032714844,0.22314049303531647,0.08003952354192734,0.3757455348968506,11.076580047607422,1.0,0.007952285930514336
1,0.41304346919059753,9.999999747378752e-05,10.864871978759766,0.5212053656578064,0.23073121905326843,0.5586481094360352,10.573729515075684,0.8604651093482971,0.14711730182170868
2,0.532608687877655,9.999999747378752e-05,10.434053421020508,0.6524500846862793,0.3552371561527252,0.6441351771354675,10.161866188049316,0.8584905862808228,0.36182901263237
3,0.5963438749313354,9.999999747378752e-05,10.104657173156738,0.713264524936676,0.4436758756637573,0.6898608207702637,9.84572696685791,0.8477508425712585,0.487077534198761
4,0.6482213735580444,9.999999747378752e-05,9.824260711669922,0.7558650970458984,0.5093873739242554,0.7017892599105835,9.561471939086914,0.8250728845596313,0.5626242756843567
5,0.6689723134040833,9.999999747378752e-05,9.549707412719727,0.770260751247406,0.5400197505950928,0.705765426158905,9.342845916748047,0.81717449426651,0.5864810943603516
6,0.6892292499542236,9.999999747378752e-05,9.30737018585205,0.7697412371635437,0.573122501373291,0.7157057523727417,9.11029052734375,0.8320000171661377,0.6202783584594727
7,0.6892292499542236,9.999999747378752e-05,9.078207015991211,0.7879580855369568,0.5948616862297058,0.7355864644050598,8.895066261291504,0.8100000023841858,0.6441351771354675
8,0.709486186504364,9.999999747378752e-05,8.854506492614746,0.7733415365219116,0.622035562992096,0.7395626306533813,8.671015739440918,0.8267326951026917,0.6640158891677856
9,0.720355749130249,9.999999747378752e-05,8.625336647033691,0.7871165871620178,0.6338932514190674,0.7574552893638611,8.453217506408691,0.8236715197563171,0.6779323816299438
10,0.7406126260757446,9.999999747378752e-05,8.375873565673828,0.8138138055801392,0.6694663763046265,0.7693836688995361,8.235780715942383,0.8305489420890808,0.6918489336967468
11,0.7351778745651245,9.999999747378752e-05,8.139409065246582,0.8005970120429993,0.6625494360923767,0.7673956155776978,8.029345512390137,0.8305882215499878,0.7017892599105835
12,0.77173912525177,9.999999747378752e-05,7.925252914428711,0.8286219239234924,0.6951581239700317,0.7713717818260193,7.813074588775635,0.8428571224212646,0.7037773132324219
13,0.7751976251602173,9.999999747378752e-05,7.687399864196777,0.8428404927253723,0.7154150009155273,0.7713717818260193,7.634662628173828,0.836448609828949,0.7117296457290649
14,0.7801383137702942,9.999999747378752e-05,7.49941349029541,0.8321838974952698,0.7154150009155273,0.775347888469696,7.454169750213623,0.8256880640983582,0.7157057523727417
15,0.7806324362754822,9.999999747378752e-05,7.296401023864746,0.8299203515052795,0.7208498120307922,0.7773360013961792,7.264086723327637,0.8306264281272888,0.7117296457290649
16,0.7984189987182617,9.999999747378752e-05,7.090135097503662,0.8484848737716675,0.7332015633583069,0.7693836688995361,7.076691150665283,0.824999988079071,0.7216699719429016
17,0.7880434989929199,9.999999747378752e-05,6.91966438293457,0.8354142904281616,0.7272727489471436,0.775347888469696,6.889674663543701,0.8325892686843872,0.7415506839752197
